label	text_a
4	But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper.
2	"There can be nothing better than we have here," said the father-snail; "I wish for nothing more."
4	Great quantities of fish could be seen through the clear water, sparkling in the sun's rays; they were quite surprised when they came so suddenly upon such an unexpected sight.
2	The little Flopsy Bunnies slept delightfully in the warm sun.
3	And now there was no one at home but the daughter, and she mourned for her brothers so much that at last she also begged the fisherman to let her set forth, for she wished to go in search of her brothers.
0	"What! is he going to propose to me?" said the scissors, and she became so angry that she cut too sharply into the shirt collar, and it was obliged to be thrown by as useless.
4	He placed a pencil sketch on the table; and mamma, who had been over-powered with the appearance of the colored plates, threw a glance at the pale drawing and cried in astonishment, "What, did you see it throw up white fire?"
2	One glory eclipsed another; yet there was one picture that fixed itself on the little boy's memory, more especially because of the happy children it represented, for these the little boy had seen in daylight.
1	"Mercy!" cried Karen.
2	But they were very pleased with it, and wondered whether all the little sparrows could become nightingales.
2	He was sitting all over a small rocking chair, twiddling his thumbs and smiling, with his feet on the fender.
2	The old woman spoke so kindly, that the girl summoned up courage and agreed to enter into her service.
0	"You are not kind at all," said Ida; "and yet they all danced with you."
2	"What a noble heart that good man has!" thought he.
0	"Fie on the villain that forsook her!"
3	Now when he thought over this by night in his bed, and tossed about in his anxiety, he groaned and said to his wife: "What is to become of us?
0	I don't want to sit here any longer."
0	He shut the door in Nutkin's face.
3	The boys only came the next morning; when they saw the dead bird, they began to cry bitterly, dug a nice grave for it, and adorned it with flowers.
1	"But," said Roland, "I counsel you first to take away her magic wand, or we cannot escape if she pursues us."
3	Ida and Anna Dorothea wept bitterly, Joanna stood, pale and proud, biting her lips till the blood came; but what could that avail?
2	"Here he is, master," said he, "I have got the better of him": and when the farmer saw his old servant, his heart relented, and he said.
0	"Ugh, you beast!" said the farm laborer who emptied the bucket, when he saw the toad.
2	"With the greatest pleasure," said the nightingale, and began to sing most delightfully.
1	"It is very unpleasant, I am afraid of the police," said Pickles.
0	He has thrown my husband down the steps so that he broke his leg.
3	He and his sister, two years older than himself, had often wept scalding tears over the story of Him who suffered death on the cross for us all.
1	The willow-wren with his army also came flying through the air with such a humming, and whirring, and swarming that every one was uneasy and afraid, and on both sides they advanced against each other.
2	The others, however, went to the old fisherman, and all were glad that they had found each other again, but they hung the bird on the wall.
2	Now I shall be of some use in the world, as everyone ought to be; it is the only way to be happy.
2	The youth, full of joy, set out homewards, and took the Golden Apple to the king"s beautiful daughter, who had now no more excuses left to make.
2	He was a merry old man, always wandering about.
2	"Yes, father," answered he; "I have travelled all over the world, I think, in one way or other, since we parted; and now I am very glad to come home and get fresh air again."
4	While he was trying his luck in milking, and managing the matter very clumsily, the uneasy beast began to think him very troublesome; and at last gave him such a kick on the head as knocked him down; and there he lay a long while senseless.
2	Here I come!" shouted Jack the Dullard, and he sang till his voice echoed far and wide.
1	Then she was in a great fright, and cried out to Chanticleer, "Pray run as fast as you can, and fetch me some water, or I shall be choked."
3	How much came back to his remembrance as he looked through the tears once more on his native town!
1	The canary-bird fluttered in his cage, and the parrot flapped his wings and cried, "Let us be men;" the poor clerk, in the most deadly terror, flew through the window, over the houses, and through the streets, till at length he was obliged to seek a resting-place.
0	Then their brother, who was a little insignificant dwarf, went out to seek for his brothers: but when he had found them they only laughed at him, to think that he, who was so young and simple, should try to travel through the world, when they, who were so much wiser, had been unable to get on.
2	"Hurrah! it is quite famous."
2	So from this time forward Sultan had all that he could wish for.
2	And it gladdened his eyes, and to the flower he turned, even in death, when the Lord called him.
2	And she now felt quite happy and lighthearted; she put on the shoes and danced and jumped about in them.
2	And the old attendant nodded and looked very pleased, and then he carried the tin soldier into the house.
1	Then he sprang from the couch dreadfully frightened, ran to the well, filled a cup that was standing by him full of water, and hastened to get away in time.
3	There lay the old bachelor, forsaken by all, and unable to help himself.
0	But the mother said, "No, no! you slut, you have no clothes, and cannot dance; you shall not go."
2	They stopped before the picture by Bronzino, in which Christ is represented as standing in the lower world, with the children smiling before Him, in the sweet expectation of entering heaven; and the poor boy smiled, too, for here was his heaven.
1	When he had made two snips, he saw the little Red-Cap shining, and then he made two snips more, and the little girl sprang out, crying: "Ah, how frightened I have been!
1	But Benjamin was frightened--
2	"Oh, what a pretty bird!" said the miser; "I would give a great deal of money to have such a one."
0	But the ball, which wore a dress of morocco leather, and thought as much of herself as any other young lady, would not even condescend to reply.
2	"I should like to see him now, while I am so merry."
4	He could not conceive how this came to pass, for he never saw a human being in his house, and no one could have concealed himself in it.
3	Tears stood in his eyes, and glistened on his cheeks; he carried a great book and the binding was of velvet, with silver clasps.
3	Then Tiny wept, and said she would not marry the disagreeable mole.
2	Our honest friend journeyed on his way too; and if he was merry before, he was now ten times more so.
0	Old Mr. Brown turned up his eyes in disgust at the impertinence of Nutkin.
2	The sparrows assembled in dozens upon the wild vines, and chattered all together as loud as they could, but not about the old house; none of them could remember it, for many years had passed by, so many indeed, that the little boy was now a man, and a really good man too, and his parents were very proud of him.
0	Pickles nearly had a fit, he barked and he barked and made little rushes.
2	The mother gave them her blessing, and all the other beetles cried "hurrah."
3	At last they both lost themselves in the thicket; Christina began to cry, and then Ib cried too; and, after weeping and lamenting for some time, they stretched themselves down on the dry leaves and fell asleep.
2	Then he went to the king, and told him all his brothers" roguery; and they were seized and punished, and he had the princess given to him again; and after the king"s death he was heir to his kingdom.
3	The poor horse was very melancholy, and wandered up and down in the wood, seeking some little shelter from the cold wind and rain.
3	Whilst he was sitting there, he thought of his dearest mother, and wished that one of the king"s principal servants would begin to speak of her, and would ask how it was faring with the queen in the tower, and if she were alive still, or had perished.
2	She was very pleased with Tiny, so she said, "You are quite welcome to stay with me all the winter, if you like; but you must keep my rooms clean and neat, and tell me stories, for I shall like to hear them very much."
3	She had been cross, unkind, and really spiteful to him; but he was very sorry, and took the dead woman and laid her in his warm bed to see if he could bring her to life again.
1	Mittens ran away to the dairy and hid in an empty jar on the stone shelf where the milk pans stand.
0	"Away with him!"
0	The first said, "Who has been sitting on my stool?"
0	"Ah! unlucky wretch that I am!" sighed she; "would that I had married King Grisly-beard!"
2	She rejoiced much to see them again, and carried them all over the water, and then she too went away, for now she was freed.
3	Then the cock was so distressed that he cried aloud, and every animal came to lament the little hen, and six mice built a little carriage to carry her to her grave, and when the carriage was ready they harnessed themselves to it, and the cock drove.
2	But the lizards continued to run up and down the riven tree; and one said to the other, "Oh, how much I was pleased with the old goblin!"
2	The feast was grand; they danced and sang; all were merry; and I only wish that you and I had been of the party.
2	The wolf is dead!" and danced for joy round about the well with their mother.
4	But she forgot about that hole in the duster; and when she untied it-- there was no Mouse!
2	So the woman was obliged to bring out the wine also, which she had hidden, and the farmer drank it till he became quite merry.
2	The little tailor did not let himself be frightened away, but was quite delighted, and said, "Boldly ventured is half won."
1	"A grave! dig me a grave!" still sounded in her ears; she was fearful that the cock might crow, and the first red streak appear in the east, before she had finished her work; and then she would be lost.
2	"O"er hill and o"er dale So happy I roam, Work light and live well, All the world is my home; Then who so blythe, so merry as I?"
0	"I"ll put a screw into that business," said the little tailor.
3	On the following Sunday they all went to church, and she was asked whether she wished to go too; but, with tears in her eyes, she looked sadly at her crutches.
2	The wedding-feast was held, and they lived happily together a long time.
2	How happy the daisy was!
0	So she took the doll out, who looked quite cross, and said not a single word, for she was angry at being turned out of her bed.
2	The tailor was looking at the beauty with beating heart, when she suddenly opened her eyes, and started up at the sight of him in joyful terror.
2	So he took the purse, put up his fiddle, and travelled on very pleased with his bargain.
2	A little homely bed was prepared for him, but to him who had so often slept on the hard stones it was a royal couch, and he slept sweetly and dreamed of the splendid pictures and of the Metal Pig.
0	At this the son was vexed; and forgetting his word, turned his ring, and wished for his queen and son.
2	However, he passed a very pleasant time; went to the theatre, drove in the king's garden, and gave a great deal of money to the poor, which was very good of him; he remembered what it had been in olden times to be without a shilling.
1	I can't find my way home!"
2	The giant took the trunk on his shoulder, but the tailor seated himself on a branch, and the giant, who could not look round, had to carry away the whole tree, and the little tailor into the bargain: he behind, was quite merry and happy, and whistled the song: "Three tailors rode forth from the gate," as if carrying the tree were child"s play.
0	Then he called to the miser, and said, "Tell us now, you vagabond, where you got that gold, or I shall play on for your amusement only," "I stole it," said the miser in the presence of all the people; "I acknowledge that I stole it, and that you earned it fairly."
0	And the snail spat at them with contempt.
4	Jemima Puddle-duck was rather surprised to find such a vast quantity of feathers.
4	When the courtiers heard this they were shocked, and said, "Heaven forbid that a father should marry his daughter!
1	Pigling Bland, much alarmed, determined to leave at daybreak.
2	"Well," said the shepherd, "if you are so fond of her, I will change my cow for your horse; I like to do good to my neighbours, even though I lose by it myself."
2	"Ah, that's lucky!" exclaimed Jack the Dullard, "for I suppose you'll let me roast my crow at the same time?"
2	It is overpowering, and yet it is delightful."
2	"How lighthearted I feel," said the father, "so pleased and cheerful."
4	It is quite shocking that one glass of punch should have upset me like this."
2	The pea-blossom pleased him most of all; she was white and red, graceful and slender, and belonged to those domestic maidens who have a pretty appearance, and can yet be useful in the kitchen.
2	And when she came home she drank, in her gladness of heart, a draught of wine, and as wine excites a desire to eat, she tasted the best of whatever she was cooking until she was satisfied, and said: "The cook must know what the food is like."
2	A certain cat had made the acquaintance of a mouse, and had said so much to her about the great love and friendship she felt for her, that at length the mouse agreed that they should live and keep house together.
2	"Why, what should make me down-hearted?" said he; "I am sound in health and rich in purse, what should I care for?
3	Soon afterwards she shut her eyes and died, and was buried in the garden; and the little girl went every day to her grave and wept, and was always good and kind to all about her.
2	The son said: "Most gracious father, I will show her to you in the form of a beautiful flower," and he thrust his hand into his pocket and brought forth the pink, and placed it on the royal table, and it was so beautiful that the king had never seen one to equal it.
1	"Oh; oh! they are coming back!"
2	The boy raised his hands towards the smiling children, and then the Pig ran off with him through the open vestibule.
3	Sorrow and suffering deprived Anthony's father of his strength, so that he had something else to think of besides nursing his love-sorrows and his anger against Molly.
2	"Oh," said the ass, "by all means go with us to the great city; you are a good night singer, and may make your fortune as a musician."
2	May beetles hummed, the bees murmured, the birds sang, each in his own way; the air was filled with the sounds of song and gladness."
3	At first Ib said not a word, but he became as white as the wall, and shook his head gently, and then he spoke,- "Christina must not refuse this good fortune."
3	Song doth not carry them forth over the lands, nor into the hearts of men; therefore I have no rest and no peace."
2	"Safe return, and a wedding this day next year," he cried; and when the glasses were empty he took the bottle, raised it on high, and said, "Thou hast been present here on the happiest day of my life; thou shalt never be used by others!"
4	Ah! what a sight she saw there!
0	Mad with pain, he tore off the coverings and his clothes too, flinging them far away, and danced about before the eyes of his ferocious soldiers, who now mocked at him, the mad prince, who wished to make war with God, and was overcome by a single little gnat.
3	Then Gretel called out to her master: "If the guest does not come, I must take the fowls away from the fire, but it will be a sin and a shame if they are not eaten the moment they are at their juiciest."
1	This servant was equally alarmed, and he got out as fast as he could.
0	The seventh, "Who has been drinking my wine?"
3	He prayed, he wept, he sorrowed, but all in vain.
0	"Go away, you bold bad spider!
0	Mrs. Tittle- mouse began to get cross.
2	"Bird," he said, "what a beautiful song that is you sing!
2	Hans took the stone, and went his way with a light heart: his eyes sparkled for joy, and he said to himself, "Surely I must have been born in a lucky hour; everything I could want or wish for comes of itself.
2	Then all three were delighted.
2	Hans brushed his coat, wiped his face and hands, rested a while, and then drove off his cow quietly, and thought his bargain a very lucky one.
2	The rabbit was quite excited because he knew that he was to be taken up, and let down again in a parachute.
1	The boy had become afraid; he called and cried after him: "Oh, wild man, do not go away, or I shall be beaten!"
2	There they found their child, now grown up to be comely and fair; and after all their troubles they lived happily together to the end of their days.
2	Her beautiful, noble child had been a dear angel, and possessed the kindest heart; he had loved her so much, and she had loved him in return; they had kissed and loved each other, and the boy had been her joy, her second life.
0	Then I would clench my fist, and cry, "We will kill these Turks!"
3	Her youngest child, looked for in the midst of prosperity, had sunk into the grave when only a few weeks old; and at last Christina herself became sick unto death, and lay, forsaken and dying, in a miserable room, amid poverty she might have borne in her younger days, but which was now more painful to her from the luxuries to which she had lately been accustomed.
0	After quarreling at supper, Flopsy and old Mr. Bouncer had passed a sleepless night, and quarrelled again at breakfast.
1	A little frightened voice called out "Who's that?"
4	The duck stared at it and exclaimed, "It is very large and not at all like the others.
0	The sight that met Mr. Tod's eyes in Mr. Tod's kitchen made Mr. Tod furious.
0	"Aha! are you there?" cried the soldier, "get to your work at once!
2	When the little girl heard this (for she stood behind the door all the time and listened), she ran forward, and in an instant all the ravens took their right form again; and all hugged and kissed each other, and went merrily home.
3	Then she was much grieved, and went to her father and mother, and asked if she had any brothers, and what had become of them.
2	And there she sat as proudly as if she were in a state coach, and looked all around her.
2	Old Mr. Bouncer coughed and laughed; and Tommy Brock puffed and grinned.
2	"How can you ask?" said Hans; "I should be the happiest man in the world, if I could have money whenever I put my hand in my pocket: what could I want more? there"s the goose."
3	"That"s a nice trick!" said her master, and lamented the fine chickens.
0	Then Tom Thumb lost his temper.
3	Thus he roamed about in misery for some years, and at length came to the desert where Rapunzel, with the twins to which she had given birth, a boy and a girl, lived in wretchedness.
2	Afterwards two pretty little beds were covered with clean white linen, and Hansel and Gretel lay down in them, and thought they were in heaven.
4	So he laid the stone carefully by his side on the bank: but, as he stooped down to drink, he forgot it, pushed it a little, and down it rolled, plump into the stream.
3	"When God is so hard to me, how can I expect men to be better?" she said with groans and tears.
1	There was less smoke, but Tom Kitten felt quite lost.
1	"Will you come and help me hold it?" said the farmer, going towards the chest in which his wife had hidden the sexton, who now lay inside, very much frightened.
1	Then she became terrified, and turned back and repented right heartily of her sin.
3	"Ah, you poor child," answered the old woman, "what a place for you to come to!
1	"But we are very much frightened," said the young storks, and they drew back their heads into the nests.
3	The sisters mourned as young hearts can mourn, and were especially grieved at the sight of their parents' sorrow.
2	And the wedding feast was held, and a merry day it was, as ever was heard of or seen in that country, or indeed in any other.
3	Thus Cat-skin lived for a long time very sorrowfully.
2	When the cloth was laid, the Lord sat down with the man and his wife, and he enjoyed their coarse food, for there were happy faces at the table.
4	But when the princess awoke on the following morning she was astonished to see, instead of the frog, a handsome prince, gazing on her with the most beautiful eyes she had ever seen, and standing at the head of her bed.
3	Here she sat down with her hymn-book, and as she was reading it with a pious mind, the wind carried the notes of the organ over to her from the church, and in tears she lifted up her face and said: "O God! help me!"
0	"I don't understand your outlandish talk," he cried at last, angrily turning his back upon them.
3	Aunt Pettitoes sighed and grunted, and addressed those little pigs as follows--
2	The doll, whose neck had been darned, was so excited that the place in her neck burst, and the money-pig declared he must do something for one of the players, as they had all pleased him so much.
1	In Mr. Tod's kitchen, amidst the wreckage, Benjamin Bunny picked his way to the oven nervously, through a thick cloud of dust.
1	Tom Thumb and Hunca Munca went cautiously across the hearthrug.
1	"Nothing nothing," he answered, and held his finger behind his back, that the man might not see it.
2	How wonderful it is, that after all I have suffered, I am made something of at last; I am the luckiest person in the world- so strong and fine; and how white, and what a length!
0	And to this day, if you meet Nutkin up a tree and ask him a riddle, he will throw sticks at you, and stamp his feet and scold, and shout--
3	As she had sat by his little cot, so now she sat by his grave; and here she could weep freely, and her tears fell upon it.
1	He will strike you down before you can cry for mercy."
2	"I promise you I will not say it any more," said the other; but as soon as people came by, nodding to him, and wishing him "Good day," he became so pleased, and thought how grand it looked to have five horses ploughing in his field, that he cried out again, "Gee-up, all my horses!"
1	All on a sudden, as she was going out, in came the king"s son in golden clothes; and when he saw a beautiful woman at the door, he took her by the hand, and said she should be his partner in the dance; but she trembled for fear, for she saw that it was King Grisly-beard, who was making sport of her.
2	Then they dressed themselves in the twinkling of an eye, and danced and capered and sprang about, as merry as could be; till at last they danced out at the door, and away over the green.
2	I can trust you, for I believe that I do love you.
2	"Ah!" said the fisherman, "how happily we shall live now!"
2	The giant was pleased with the good cheer, and ate and drank to his heart"s content.
2	Benjamin, on the contrary, was perfectly at home, and ate a lettuce leaf.
2	He was quite dry himself and grinning; and he threw the cup of scalding tea all over Mr. Tod.
4	"That would be a fine thing!" cried the miller, and went there and found the salad.
1	"Take us out, take us out, or alas! we shall be burnt to a cinder; we were baked through long ago," cried the loaves as before.
2	These are the jewels that rejoice a singer's heart.
0	"Away with him!"
2	And while she was speaking, the child plucked off quite a large apple, and ran to her sisters, saying, "Just taste, my dear little sisters, for never in my life have I tasted anything so delightful."
2	"It's a very fine morning!" said Mr. Drake Puddle-duck.
0	The fourth, "Who has been meddling with my spoon?"
2	This pleased the Lord, and he went in.
2	As he was hungry, and saw the food, he, too, place himself at the table, ate with those who were eating and enjoyed it.
2	So she ran into the cellar again, took an enormous drink and ate up the one chicken in great glee.
2	Certainly it was rather crooked, rather up and down, one leg thick, and another thin; still it was like the copy, and he was overjoyed at what he had done.
0	First he had been upset by breaking the plate.
3	So they laid her down upon a bier, and all seven watched and bewailed her three whole days; and then they thought they would bury her: but her cheeks were still rosy; and her face looked just as it did while she was alive; so they said, "We will never bury her in the cold ground."
2	"Ah!" said the young man, "that would be a great thing, but how can you contrive it?"
1	And she went quickly up to the church-door; but when she came there, the red shoes were dancing before her, and she was frightened, and turned back.
2	He ran or flew after her, touched the cage with the flower, and Jorinda stood before him, and threw her arms round his neck looking as beautiful as ever, as beautiful as when they walked together in the wood.
2	"Everything around me is so wonderfully bright and warm, and beautiful, that it makes me joyous."
1	Then the father started, trembling with fear and horror, and saw what it was that he had bound himself to do; but as no gold was come, he made himself easy by thinking that it was only a joke that the dwarf was playing him, and that, at any rate, when the money came, he should see the bearer, and would not take it in.
3	The youth wandered on, and after some time came to a fortress where he begged for a night"s lodging.
3	The poor swineherd took these words to heart, for they were addressed to him; he knew not that there were others who were equally ignorant.
0	You need not be in a hurry; you are always so impatient, and the youngster is getting just the same.
0	But the untidiness was something dreadful--"Never did I see such a mess--smears of honey; and moss, and thistledown--and marks of big and little dirty feet-- all over my nice clean house!"
1	Tom Kitten was getting very frightened!
4	"The chimney wants sweeping-- Oh, dear me, Cousin Ribby--now Moppet and Mittens are gone!
0	"That"s ill done, Hans, you should have put the knife in your pocket."
3	And the birds of the air came too, and bemoaned Snowdrop; and first of all came an owl, and then a raven, and at last a dove, and sat by her side.
2	Then she went to the king, and told him the joyful tidings, and when the time was come she gave birth to a son, and the king was filled with gladness.
0	Mrs. Tittlemouse looked at her severely.
0	The Grasshopper only sprang half as high, but he sprang straight into the King's face, and the King declared that was horribly rude.
3	The aged king ordered the cook to be torn in four pieces, but grief consumed the king"s own heart, and he soon died.
3	She folded her hands, and hid her face in the cotton curtains of the bed, and wept.
3	His sons were very much grieved at their father"s sickness; and as they were walking together very mournfully in the garden of the palace, a little old man met them and asked what was the matter.
3	Tiny looked after him, and the tears rose in her eyes.
2	"'That is quite true,' said the water-bucket; and he made a spring with joy, and splashed some water on the floor.
0	So Mother Holle very soon got tired of her, and told her she might go.
2	"I was so miserable," she said, "when I came out, but that has all passed away; that is indeed a splendid bird, and he has given me a pair of red shoes."
3	Tears of sorrow rolled down their cheeks, and fell in heavy drops on the floor, but not a word was spoken.
4	"Good heavens! listen to the voice of an innocent child," said the father, and one whispered to the other what the child had said.
2	The tailor drove quietly to church, and the princess was married to him at once, and he lived with her as happy as a woodlark.
3	His first betrothed heard of this, and fretted so much about his faithfulness that she nearly died.
3	The youth sat down in the garden and considered how it might be possible to perform this task, but he could think of nothing, and there he sat sorrowfully awaiting the break of day, when he should be led to death.
3	She could not at first tell why she felt sad, but she became conscious at last of great longing to go home; then she knew she was homesick, although she was a thousand times better off with Mother Holle than with her mother and sister.
0	Meanwhile the miser crept out of the bush half-naked and in a piteous plight, and began to ponder how he should take his revenge, and serve his late companion some trick.
1	At this, too, the youngest sister was terribly frightened, but the eldest always silenced her.
3	The lieutenant felt this very keenly, and therefore leaned his head against the window-frame, and sighed deeply.
1	He was afraid to go to sleep himself; for the rest of the night he sat listening to the chirping of the crickets and to the snores of Mr. Piperson overhead.
0	The king ordered the man to be brought before him, and threatened with angry words that unless he could before the morrow point out the thief, he himself should be looked upon as guilty and executed.
3	The son was in such trouble that he did not think what he was doing, and said: "Yes, dear father, your will shall be done," and thereupon the king shut his eyes, and died.
2	Chippy Hackee was not too fat, but he did not want to come; he stayed down below and chuckled.
3	Now when all were gone, and nobody left at home, Ashputtel went sorrowfully and sat down under the hazel-tree, and cried out:
1	Each wanted to be first at drawing the water, and so they were in such a hurry that all let their pitchers fall into the well, and they stood very foolishly looking at one another, and did not know what to do, for none dared go home.
2	She lived three days more, and then died happily, and when she was buried, the two white doves which had brought her food to the tower, and were angels of heaven, followed her body and seated themselves on her grave.
2	The King came down himself and opened the door, and there he found both strong and well, and rejoiced with them that now all sorrow was over.
0	"Lord have mercy on us!" cried the father; "is that all you have learnt?
2	The same thing was continued through many generations of Ephemera; all of them felt equally merry and equally happy.
0	"That is no business of mine," said the fiddler: "why should you wish for another husband?
2	How charming this is for a mother, is it not Mr. Beetle?" for she knew the stranger by his horny coat.
3	They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, "Heaven and our hearts are weeping together."
2	Then he took the string in his hand, and drove off the pig by a side path; while Hans went on the way homewards free from care.
3	So they dared no longer hide the truth from her, but said it was the will of Heaven, and that her birth was only the innocent cause of it; but the little girl mourned sadly about it every day, and thought herself bound to do all she could to bring her brothers back; and she had neither rest nor ease, till at length one day she stole away, and set out into the wide world to find her brothers, wherever they might be, and free them, whatever it might cost her.
0	Am not I good enough for you?"
2	Then both the sisters were overjoyed to hear it; for they had beautiful feet, and had no doubt that they could wear the golden slipper.
3	"Ah!" replied the horse, "justice and avarice never dwell in one house; my master has forgotten all that I have done for him so many years, and because I can no longer work he has turned me adrift, and says unless I become stronger than a lion he will not take me back again; what chance can I have of that? he knows I have none, or he would not talk so."
0	"He is of no use!" said the Princess.
1	"I am dreadfully afraid it WILL be mouse!" said Duchess to herself--"I really couldn't, COULDN'T eat mouse pie.
1	Oh, my dear Ribby, I do feel so ill!"
2	Then he rustled his feathers, curved his slender neck, and cried joyfully, from the depths of his heart, "I never dreamed of such happiness as this, while I was an ugly duckling."
2	Then they got a flower-pot, filled it with earth, and were soon both very busy and eager about it.
4	"Oh, o- h!" cried the young storks.
0	"That was ill done, Hans, you should have led the calf, and put it in the stall."
3	A little while later she called her husband, and said to him, weeping.
2	The shoemaker's boy liked the idea of getting the four shillings, so he ran very fast and fetched the tinder-box, and gave it to the soldier.
2	"See," cried the youngest, "there is a new one;" and the rest were delighted, and ran to their father and mother, dancing and clapping their hands, and shouting joyously, "There is another swan come; a new one has arrived."
1	When the two heard that, they were frightened to death, and ran away in great haste.
3	So the man went away quite sorrowful to think that his wife should want to be king.
2	The emperor was so delighted that he declared the nightingale should have his gold slipper to wear round her neck, but she declined the honor with thanks: she had been sufficiently rewarded already.
1	So the fisherman was forced to go; and he muttered as he went along, "This will come to no good, it is too much to ask; the fish will be tired at last, and then we shall be sorry for what we have done."
2	"Yes, this is East Street; how beautifully bright and gay it looks!
2	Then they began to run, rushed into the parlour, and threw themselves round their father"s neck.
3	Oh, how she wept and prayed that she also might die!
3	When she awoke, and wanted to see her child, the husband, with tears, said, "We have closed the coffin; it was necessary to do so."
0	Now when she heard that they were so happy, and so well off, envy and hatred rose in her heart and left her no peace, and she thought of nothing but how she could bring them again to misfortune.
1	Peter did not eat anything; he said he should like to go home.
2	"Well, this is quite wonderful; I could not have believed that I should be so favored by fortune.
2	The sun shone among the delicate leaves; everything breathed forth the loveliest fragrance, and all felt as we do when we are filled with joy at the thought of our happiness.
2	The father, however, rejoiced, for it had cut him to the heart to leave them behind alone.
1	When she heard the farmer coming she was frightened, and begged the sexton to hide himself in a large empty chest that stood in the room.
3	And he, poor boy, wept also, as he sat alone by the river, near to and watching the damp linen.
2	They lived together very happily, and the queen had a son.
2	But the king came up to her, and held out his hand and danced with her; and he thought in his heart, "I never saw any one half so beautiful."
2	Then Sophy was very happy, and said they might keep her bed; she did not mind lying in the drawer at all.
1	She was frightened, and wanted to throw the red shoes away; but they stuck fast.
2	"Summer cannot show a more beautiful sight," she exclaimed, while her eyes sparkled.
0	And they hacked away at him, and they pulled at him, and ate him up, because of the little bruise.
3	Here everything was bright, and the boy knelt down by the first tomb on his right, the grave of Michael Angelo, and sobbed as if his heart would break.
1	The next thing she came to was a little house, and there she saw an old woman looking out, with such large teeth, that she was terrified, and turned to run away.
3	Night fell, and nothing was left for him to do, but to seek a bed in this painful solitude.
1	They crept out of their tunnel, and hung about amongst the rocks and bushes, listening anxiously.
3	Gretel wept bitter tears, and said to Hansel: "Now all is over with us."
2	"'Could I but have my love, Who then so happy as Glove!
3	But when he got into the cellar, and they were all sitting together crying, and he heard the reason, and that Elsie"s child was the cause, and the Elsie might perhaps bring one into the world some day, and that he might be killed by the pick-axe, if he should happen to be sitting beneath it, drawing beer just at the very time when it fell down, he cried: "Oh, what a clever Elsie!" and sat down, and likewise wept with them.
2	So a year passed, and the emperor, the court, and all the other Chinese knew every little turn in the artificial bird's song; and for that same reason it pleased them better.
2	"How beautiful this world is!" said the caterpillar.
0	But when the proud princess perceived that he was not her equal in birth, she scorned him, and required him first to perform another task.
0	All this was new and interesting; that is, for the first time, but afterwards, as the weather-cock found out, they repeated themselves and always told the same stories, and that's very tedious, and there was no one with whom one could associate, for one and all were stale and small-minded.
4	And the huntsmen went up to the tree, and when they came back again said, "In the hollow tree there lies a most wonderful beast, such as we never saw before; its skin seems to be of a thousand kinds of fur, but there it lies fast asleep."
3	He sat for a while very sorrowfully, then suddenly he felt in his pocket and found his tobacco pipe, which was still half full.
4	"Good gracious!" he exclaimed; "what in the world has happened to the bishop? what can he be thinking about?"
3	Then you may imagine how she wept over her poor children.
4	He started back, quite bewildered with the fright which the goloshes of Fortune had caused him.
3	"Oh, now I have no horse at all, said Little Claus, weeping.
1	"Oh I do feel so ill ALL OVER me, my dear Ribby."
3	"If I die, bury me under the juniper-tree."
4	As soon as the man in the sack saw him passing under the tree, he cried out, "Good morning! good morning to thee, my friend!"
3	"It is not very pleasant, certainly; I should imagine it is something like being married; for here I am stuck fast."
3	Then she did as she was told; but when all was done she could not help crying, for she thought to herself, she should so have liked to have gone with them to the ball; and at last she begged her mother very hard to let her go.
0	But Simpkin hid a little parcel privately in the tea-pot, and spit and growled at the tailor; and if Simpkin had been able to talk, he would have asked: "Where is my MOUSE?"
0	Again and again he bawled it out, but as she did not stir he flew into a passion, and threw the glass of mead in her face; it struck her on the nose, and she fell backwards out of the cart, for she was only seated there, not tied in.
3	But Marleen stood looking on, and wept and wept, and her tears fell into the pot, so that there was no need of salt.
1	"Mother," said the boy, "how dreadful you look!
4	He was astonished when he saw them come alone, and asked what had happened to them.
2	"Let me see him," said the young man, and then he smiled and shook his head, and said, "It can scarcely be the same, but it reminds me of something that happened to one of my tin soldiers when I was a little boy."
3	Then he could easily guess what had happened, and much grief reigned in the royal court.
2	A perfectly lovely little black Berkshire pig stood smiling beside him.
2	People are so kind; they seem really to think I do them a favour in letting them make me rich, and giving me good bargains."
4	"How COULD I have swallowed it! such a large thing as a patty-pan!"
1	At this sight the fisherman was dreadfully frightened, and he trembled so that his knees knocked together: but still he went down near to the shore, and said:
3	A record of this bright display will live in the memory of man, for through it the pupil in the military school was in tears and sorrow.
3	The evening came, and nobody appeared to bring the poor bird a drop of water; it opened its beautiful wings, and fluttered about in its anguish; a faint and mournful "Tweet, tweet," was all it could utter, then it bent its little head towards the flower, and its heart broke for want and longing.
1	But he did not venture to give him his dismissal, for he dreaded lest he should strike him and all his people dead, and place himself on the royal throne.
0	He did all he could to soothe her, and she at last seemed to be appeased; but she was not so in truth, and was only thinking how she should punish him.
2	She rather fancied a tree stump amongst some tall foxgloves.
0	"Impertinent creature!" exclaimed the Portuguese duck: "would you compare me with the cat- that beast of prey?
